Job Name,label,Company Name,Job Type,Experience Required,Department,JD,City,Date Posted
Full Time Senior Laravel Developer Job in Pakistan,Gallery Job,"Tech Nation, Pakistan",Full Time Job,< 1 Year,IT Job,"PHP/ Laravel works with team members to troubleshoot and improve back-end applications and processes.PHP/Laravel candidate should have an understanding of programming languages and tools to analyze codes and industry developments, formulate more effi",Islamabad,13-Sep-20
Full Time Sales Executive  Jobs in Pakistan,,"Live Chat World Wide, Pakistan",Full Time Jobs,Job for Fresh Graduates,Customer Service Jobs,"We are looking for applicants who are ready and willing to work in an environment that enhances your skills and talents.Our work entails working with foreign companies situated in both the US and UK delivering customer support, Our targets are satisf",Lahore,13-Sep-20
Online Full Time Senior Customer Sale Representative Job in Pakistan,,"IT Resourcers, Pakistan",Full Time Job,< 1 Year,Marketing Job,"We are hiring a female for our IT Resources compnay, to deal the customer on daily basis via call/whats app/ emailOffice timing is 11am to 6/7 pm.Sallary is 10k + commision (3k per client)",Islamabad,13-Sep-20
Full Time Graphic Designer Job in Pakistan,Gallery Job,"Startup, Pakistan",Full Time Job,3 Years Job Exp.,Real Estate Job,"Needs to provide create work for company branding, and all other designs, including work for website, social media platforms, advertisements and any internal designing work required.",Karachi,13-Sep-20
Full Time Sales Executive Jobs in Pakistan,,"Yopals Pvt. Ltd. , Pakistan",Full Time Jobs,1 Year Job Exp.,Marketing Jobs,Job DescriptionYopals (Pvt) Ltd. is looking for Sales Executives to promote the company to businesses across Lahore. Key Responsibilities:&bull; Perform Business development activities&bull; Visit businesses across Lahore on a daily basis and promote,Lahore,13-Sep-20
Full Time Immigration Consultant Jobs in Pakistan,,"Elite Immigration Consultants, Pakistan",Full Time Jobs,3 Years Job Exp.,Consulting Jobs,"Keeping up-to-date with alterations to immigration laws.Meeting with prospective and extant clients to gauge which services they require.Providing clients with all pertinent documentation.Assisting clients with the completion of paperwork, and ensuri",Islamabad,13-Sep-20
Full Time Sales Officer Job in Pakistan,,"Shah Enterprise, Pakistan",Full Time Job,Job for Fresh Graduates,Sales Job,"Develop business by identifying exceptional prospectsIdentifies business opportunities by identifying prospects and assessing their position in industrySells product by establishing contact and developing relationship with prospectsResearch, promote,",Mirpur Khas,13-Sep-20
Online Full Time Junior Android Developer Job in Pakistan,,"Codevilaa, Pakistan",Full Time Job,Job for Fresh Graduates,IT Job,"We are looking to hire a junior android developer, candidate should have basic knowledge of Android UI design principles, SDK, Rest APis, familiarity with cloud message APIs and push notifications.Third-Party API integration would be a huge Plus or A",Lahore,13-Sep-20
Full Time HR Person Job in Pakistan,,"Eurotile & Granite, Pakistan",Full Time Job,1 Year Job Exp.,HR & Recruiting Job,We are looking to hire HR PERSON for our office based in Karachi.Interested candidates with relevant skill set are welcome to apply now.,Karachi,13-Sep-20
Full Time Peon Job in Pakistan,,"Eurotile & Granite, Pakistan",Full Time Job,1 Year Job Exp.,Admin Job,We are looking to hire Peon for our office based in Karachi.Interested candidates with relevant skill set are welcome to apply now.,Karachi,13-Sep-20
Full Time Sales Girl / Sales Man Jobs in Pakistan,,"Eurotile & Granite, Pakistan",Full Time Jobs,1 Year Job Exp.,Sales Jobs,We are looking to hire Sales Girl / Sales Man for our office based in Karachi.Interested candidates with relevant skill set are welcome to apply now.,Karachi,13-Sep-20
Full Time Computer Data Entry Person Jobs in Pakistan,,"Eurotile & Granite, Pakistan",Full Time Jobs,1 Year Job Exp.,Admin Jobs,We are looking to hire COMPUTER DATA ENTRY PERSON for our office based in Karachi.Interested candidates with relevant skill set are welcome to apply now.,Karachi,13-Sep-20
Full Time Electrical Engineer Job in Pakistan,,"Abu Bakar Engineering, Pakistan",Full Time Job,< 1 Year,Engineering Job,"Job Responsibilities:- Provide Support to Sales &amp; Marketing Manager- Electrical Solution Provider with Support- Able to Maintain Data and Records- Multi-Tasking as Random Task will be Assigned- Good at MS-Office (Excel, Work, PPT etc.)- Have know",Karachi,13-Sep-20
Full Time Site Supervisor Job in Pakistan,,"Unicorn Solutions Private Limited, Pakistan",Full Time Job,2 Years Job Exp.,Construction Job,"Site Supervisor required for Office renovation, Home renovation, small civil construction work, buildingfinishing works",Karachi,13-Sep-20
Full Time Social Media Marketing Expert  Jobs in Pakistan,,"Zareen Jewellery , Pakistan",Full Time Jobs,1 Year Job Exp.,Marketing Jobs,Urgent requirment of social media marketing expertOffice based job.Location : Faisalabad.,Faisalabad,13-Sep-20
Full Time SEO / Link Builder Jobs in Pakistan,,"Boxes Xpert Hub, Pakistan",Full Time Jobs,1 Year Job Exp.,IT Jobs,"We are looking for a Highly Skilled and experienced SEO Specialist for SEO Projects.Candidate must have strong knowledge &amp; experience for data-driven SEO, On-page SEO, Google Analytics, Google Search Console, Latest Link Building Techniques, and",Lahore,13-Sep-20
Full Time Customer Service Representatives Jobs in Pakistan,,"Keystone Communications, Pakistan",Full Time Jobs,< 1 Year,Customer Service Jobs,Male &amp; Female CSR (Only experienced)Required for Leading Telecom CompanyYou can earn upto 1 lac per monthBasic Salary: 20000Must have 8 months to 1 year experienceCandidates must have good English communication skills,Islamabad,12-Sep-20
Full Time Academic Coordinator Job in Pakistan,,"Eye on Ivy, Pakistan",Full Time Job,< 1 Year,Education Job,Academic Coordinator!Reports to the CEO and works in conjunction with broader team on assigned tasks. The Academic Coordinator will be responsible for managing an assigned caseload of students who are applying to different International competitions,Lahore,12-Sep-20
Full Time News Reporters Internship Jobs in Pakistan,,"Public TV News, Pakistan",Full Time Jobs,< 1 Year,Media Jobs,"Applications are now open for Volunteer Reporter for public tv newsThere&rsquo;s something special about public tv news. Launch your career with public tv news. There&rsquo;s a sense of pride that comes from delivering fact-based, in-depth news that",Islamabad,12-Sep-20
Full Time Video Editor / Cameraman Jobs in Pakistan,,"Public TV News, Pakistan",Full Time Jobs,< 1 Year,Media Jobs,"We are looking for an experienced and creative Video Editor to join our team!As a Video Editor plus cameraman at our company, you will be responsible for editing, and producing photos and videos for internal and external purposes.As video has become",Islamabad,12-Sep-20
Online Full Time Opencart / PHP/ LARAVEL Developer Jobs in Pakistan,,"SM Services, Pakistan",Full Time Jobs,2 Years Job Exp.,Web & E-commerce Jobs,"Job DetailsWe are looking for Opencart PHP Laravel Developers. Your primary focus will be the development of all server-side logic, definition, and maintenance of the central database, and ensuring high performance and responsiveness to requests from",Lahore,12-Sep-20
Online Full Time Business Development Officer / Manager Sales  Job in Pakistan,,"New Age Services, Pakistan",Full Time Job,2 Years Job Exp.,Construction Job,We are looking for a highly motivated Business Development Officer / Manager-Sales to join our team. Apply nowNote: who are already working can also join us as part-time on a commission basis to increase their income.,Karachi,12-Sep-20
Full Time Assistant Manager Quality Control Job in Pakistan,,"Platinum Pharmaceuticals, Pakistan",Full Time Job,7 Years Job Exp.,Healthcare Job,Platinum Pharmaceuticals is currently hiring:Position: Assistant ManagerDepartment: Quality ControlQualification: Pharm-D/ M.Sc. (Chemistry)Experience Level: Minimum 7 to 8 years of relevent experience with SAP (QM) and strong HPLC skills.Salary Rang,Karachi,12-Sep-20
Full Time Order Booker Jobs in Pakistan,,"Syeda Products, Pakistan",Full Time Jobs,2 Years Job Exp.,Sales Jobs,A food company requires order Booker with handsome salary plus commission packageInterested candidates send their CV now,Karachi,12-Sep-20
Full Time SEO Executive Jobs in Pakistan,,"Zoom Digital Dubai, Pakistan",Full Time Jobs,3 Years Job Exp.,IT Jobs,"Looking for an SEO Expert with 2 to 3 years of experience with good English skills. Must be well versed with technical seo, onpage seo and off page seo.Responsibilities:Keyword researchWebsite auditCompetitor AnalysisOn Site OptimizationContent Marke",Lahore,12-Sep-20
Full Time System Engineer Job in Pakistan,,"Bradhub IT Solutions (Private) Limited, Pakistan",Full Time Job,2 Years Job Exp.,Admin Job,Minimum QualificationsBachelor&rsquo;s degree in a field related to computer science or information technology or equivalent experiencePreferred Qualifications2 years of experience in workstation or server administration1 year of experience in system,Lahore,12-Sep-20
Full Time Teaching Faculty Jobs in Pakistan,Gallery Job,"Cadet College Jhang, Pakistan",Full Time Jobs,2 Years Job Exp.,Education Jobs,FEMALE RESIDENTIAL TEACHING FACULTY FOR FSC LEVELCHEMISTRYENGLISHISLAMIATPAK STUDIESMATHEMATICS,Jhang,12-Sep-20
Full Time Senior Core PHP & Wordpress Developers  Jobs in Pakistan,Hot Job,"Oxygen Soft, Pakistan",Full Time Jobs,< 1 Year,IT Jobs,"Oxygen Soft. is looking for CorePHP &amp; WordPress Developers with excellent English communication skills and a proven track record in PHP-WordPress development.We value energetic, motivated and highly creative minds.If you fulfill the above mention",Lahore,12-Sep-20
Full Time Patient Services Executive Jobs in Pakistan,Gallery Job,"edSavvy Solutions, Pakistan",Full Time Jobs,1 Year Job Exp.,Healthcare Jobs,"Interact with patients to schedule their appointments.
Provide support regarding patient&#39;s prescriptions, reports and services.
Convince previous patients to schedule appointments for follow up visits.
Guide patients about the services we provide",Lahore,12-Sep-20
Full Time Node JS Developer Job in Pakistan,,"PayPlus, Pakistan",Full Time Job,3 Years Job Exp.,Banking Job,2 years plus experienceAPI integration skills are mandatoryPHP Codeignitor skills are mustJason skills are also requiredSQL MYSQLNetwork level knowledge will be a plus,Islamabad,11-Sep-20
Full Time Telesales Representative Jobs in Pakistan,,"Dynamic Solutions, Pakistan",Full Time Jobs,< 1 Year,Customer Service Jobs,Dealing with the customers on inbound and outbound sales calls for international campaign.,Lahore,11-Sep-20
Full Time React Native Developer Jobs in Pakistan,,"NubroTech, Pakistan",Full Time Jobs,1 Year Job Exp.,IT Jobs,"NubroTech is looking for 1-2 Years Experienced Fullstack Javascript &amp; React Native Engineer interested in building web apps, backend as well as mobile apps on both the iOS and Android platforms.ResponsibilitiesArchitect, build and maintain excell",Lahore,11-Sep-20
Full Time Video Creator For Youtube Channels Job in Pakistan,,"Smart Logics, Pakistan",Full Time Job,< 1 Year,Electronics Job,"Operate computer editing systems and equipment used for video media and effects.Edit the videos and imagesImprove video and sound quality using various video software especially Adobe PremierEdit video to include preselected music, interviews, sound",Lahore,11-Sep-20
Full Time Business Development Manager - Mobile Apps / Web Development Jobs in Pakistan,,"Creative Dots, Pakistan",Full Time Jobs,2 Years Job Exp.,Marketing Jobs,"Must have 2-3 years of experience in Web Development &amp; Mobile Apps project, digital marketing projects acquisition &amp; closing.Sound technical knowledge of advanced Web/Mobile/digital marketing technologies trending today.Explore &amp; target n",Lahore,11-Sep-20
Full Time Front Desk Officer / Executive Job in Pakistan,Hot Job,"Confidential, Pakistan",Full Time Job,1 Year Job Exp.,Admin Job,"Greet and welcome guests as soon as they arrive at the officeDirect visitors to the appropriate person and officeAnswer, screen and forward incoming phone callsEnsure reception area is tidy and presentable, with all necessary stationery and material",Islamabad,10-Sep-20
Online Full Time Call Center Representative Jobs in Pakistan,,"Digital Otters, Pakistan",Full Time Jobs,1 Year Job Exp.,IT Jobs,"Manage large amounts of outbound calls in a timely manner for the United Kingdom Market
Follow communication &ldquo;scripts&rdquo; when handling different clients
Identify customers&rsquo; needs, clarify information, research every issue and provide",Lahore,10-Sep-20
Full Time Public Relation Officer Job in Pakistan,,"AZCA Estate & Builders, Pakistan",Full Time Job,Job for Fresh Graduates,Admin Job,AZCA Estate &amp; Builders is looking for Candidate against the vacancy of Public Relations Officer. Candidate has to deal with following resposibilities.1) Interact with the vendors and suppliers.2) Manage the Transfers and agreements of Company3) O,Islamabad,10-Sep-20
Full Time Senior Front End React JS Developer Job in Pakistan,,"Orbiqon, Pakistan",Full Time Job,3 Years Job Exp.,IT Job,"We are looking for a Experienced Front End + React JS Developer2-3 Years of experience (Lahore Based)**Handsome Salary Package****Must have good communication skills**Roles and Responsibilities:- Experience in Front End
- Must be able to convert desi",Lahore,10-Sep-20
Full Time SEO / SEM Expert Job in Pakistan,,"Creatix Media, Pakistan",Full Time Job,1 Year Job Exp.,Web & E-commerce Job,Joint venture is expanding and looking for a SEO/SEM Expert to manage and perform optimization duties for client sites.The successful candidate should possess the following combined experience/knowledge:- Experienced SEO knowledge with focus on on-pa,Karachi,10-Sep-20
Full Time Supervisor Jobs in Pakistan,,"The Skills Institute of New Technology, Pakistan",Full Time Jobs,Job for Fresh Graduates,Education Jobs,Lean and EarnEducationAdvertisingNetworkingOffice ManagementReceptionistInterviewerAccountantData entryFile Manger,Lahore,10-Sep-20
Full Time Senior PHP Laravel Developer Jobs in Pakistan,,"Intrercraft (Pvt) Limited, Pakistan",Full Time Jobs,2 Years Job Exp.,Computer Software Jobs,"We are looking for a full stack PHP Developer for our Rawalpindi office with at least three years of development experience.Required Skill Set and Expertise:Understanding of Microservice Architecture and API development.
Working with the team and man",Islamabad,10-Sep-20
Full Time IT Systems Manager Job in Pakistan,Gallery Job,"E-Bizsoft Pvt Ltd, Pakistan",Full Time Job,5 Years Job Exp.,IT Job,e-BizSoft (Pvt.) Ltd. is looking for experienced IT Infrastructure Engineer to manage its hosting and network infrastructure operations.The position&rsquo;s responsibilities would include:Microsoft domain services deep knowledge and skills regarding,Karachi,10-Sep-20
Full Time Financial Advisor Jobs in Pakistan,,"Efu Life Assurance Ltd, Pakistan",Full Time Jobs,< 1 Year,Insurance Jobs,"EFU Life hiring professional Financial Advisor for Rawalpindi branch officeCandidate with experience ofBanking, Sales &amp; Marketing would be preferred",Islamabad,10-Sep-20
Full Time Flutter Developer Jobs in Pakistan,Gallery Job,"Tech Nation, Pakistan",Full Time Jobs,< 1 Year,IT Jobs,We are looking for an experienced Flutter developer to assist our team of talented engineers to design and build the next generation of our mobile applications.You will work closely with other app development and technical teams.You should be able to,Islamabad,10-Sep-20
Online Full Time Senior Laravel Developer Job in Pakistan,Gallery Job,"Blufour, Pakistan",Full Time Job,< 1 Year,IT Job,Senior Laravel Developer at BytecodeThis is a home based/remote job.We are looking for a go-getter attitude who loves challenges and want to create awesome software products that will make you proud of and leave a legacy. You should be motivated and,Islamabad,10-Sep-20
Full Time Inside Sales Agent (Night Shift) Jobs in Pakistan,,"Metro Consulting Grid, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,"As a Lead Generator, you will be responsible for as part of a team to support the Account Executives in prospecting and building a pipeline of qualified leads to meet business plans, quotas, and company objectives. The ideal candidate should be ambit",Islamabad,9-Sep-20
Online Full Time Full Stack Developer .Net / Angular Jobs in Pakistan,Gallery Job,"Forenax, Pakistan",Full Time Jobs,1 Year Job Exp.,IT Jobs,We are seeking .Net Developers with a strong background in building high-quality and high-performance web applications.The candidate(s) will be responsible for:Designing of enhancements to existing products and development of new productsWork with Qu,Lahore,9-Sep-20
Full Time Sales And Marketing Manager Jobs in Pakistan,Gallery Job,"Star Marketing (Pvt.) Ltd., Pakistan",Full Time Jobs,5 Years Job Exp.,Real Estate Jobs,"Star Marketing (Pvt.) Ltd., is looking for a highly dynamic, result oriented and experienced Sales and Marketing Manager for its office in Islamabad. The Candidate will be responsible for:To boost sales of all current projectsClient briefing about on",Islamabad,9-Sep-20
Full Time PHP / Wordpress Developer Jobs in Pakistan,Gallery Job,"Pearl-Soft, Pakistan",Full Time Jobs,1 Year Job Exp.,Web & E-commerce Jobs,We are looking for a PHP/Wordpress Developers for our Web Design Company and offering a full-time job for competent developers having at least one year of industry experience.We are based in I-8 Islamabad.,Islamabad,9-Sep-20
Full Time Graphic Designer Job in Pakistan,Hot Job,"Zarnab International (Pvt) Ltd., Pakistan",Full Time Job,1 Year Job Exp.,Marketing Job,We are looking for a Graphic Designer who can design creative designs for social media posts and banners. Have to be creative and able to generate new ideas.,Lahore,9-Sep-20
Full Time Business Manager / International IT Sales Job in Pakistan,,"Dukan Express, Pakistan",Full Time Job,2 Years Job Exp.,Web & E-commerce Job,"Responsibilities include:
&bull; Generate business through online portals like upwork, fiverr, oDesk etc.
&bull; Write web content, draft emails and proposals for projects
&bull; Analyze client requirements and provide appropriate bidding solutions.",Karachi,9-Sep-20
Full Time Expert UX/UI & PSD Mockup Designer Designer Job in Pakistan,Gallery Job,"Photon Technologies, Pakistan",Full Time Job,2 Years Job Exp.,Web & E-commerce Job,"We need expert mockups and graphics designer. Our target is to have some designer who is able to design creative and great looking web designs and deliver to our web developer in PSD files. The person we are looking for should be very communicative,",Islamabad,9-Sep-20
Full Time Php / Laravel Wordpress Developer Jobs in Pakistan,Gallery Job,"Peek International, Pakistan",Full Time Jobs,1 Year Job Exp.,IT Jobs,"We&#39;re looking for an experienced, motivated and innovative php/Laravel WordPress Developer to join our rapidly growing digital agency. Experience in vue.js will be plus.",Islamabad,9-Sep-20
Full Time International Sales Associate Jobs in Pakistan,,"SoftNation Technologies, Pakistan",Full Time Jobs,Job for Fresh Graduates,IT Jobs,Soft Nation Technologies is urgently looking someone for International Sales Associate.Handsome salary with lucrative commission. candidate may share resume at . Shift Timing (9pm to 6am) Night Shift. Transportation will be provided to female Staff),Karachi,9-Sep-20
Full Time Procurement Officer - Evening Shift Job in Pakistan,,"SoftNation Technologies, Pakistan",Full Time Job,Job for Fresh Graduates,IT Job,Soft Nation Technologies is urgently looking for an enthusiastic female candidate for the position of Procurement Officer to join our team.,Karachi,9-Sep-20
Full Time Finance Officer Job in Pakistan,,"Get Now PK, Pakistan",Full Time Job,Job for Fresh Graduates,Finance Job,"GetNow is the best online shopping store in Pakistan. We are seeking to hire a Finance Officer with below mentioned details.RESPONSIBILITIES:&bull; Managing records and transactions&bull; Reconciling daily, monthly and annual transactions&bull; Doubl",Lahore,9-Sep-20
Full Time Full Stack PHP Developer Jobs in Pakistan,,"SoftNation Technologies, Pakistan",Full Time Jobs,2 Years Job Exp.,IT Jobs,"SoftNation Technologies is looking for an experienced Full-Stack Developer. Candidates who wish to apply should be having a minimum of 3-5 years of experience.Job Requirements.
&bull; In-depth knowledge &amp; hands-on experience of widely used PHP Fr",Karachi,9-Sep-20
Full Time Customer Service Representative Jobs in Pakistan,,"Get Now PK, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"GetNow.pk is the best online shopping store in Pakistan. We are seeking for Customer Service Representatives who have Good listening, Problem solving &amp; Excellent Coummumcation skils. Familiarity with CRM systems and practices preferred.",Lahore,9-Sep-20
Full Time Front End Developer Job in Pakistan,,"Techriffic, Pakistan",Full Time Job,2 Years Job Exp.,IT Job,"Shift Timings 7 pm - 4 amReview designs created by web designers; ask any necessary clarifying questions before starting on workWrite code to implement visual elements into various web applicationsCreate prototypes, mockups, and staging sites for rev",Karachi,9-Sep-20
Full Time Digital Marketing Executive  Job in Pakistan,,"Techriffic, Pakistan",Full Time Job,3 Years Job Exp.,Marketing Job,"Shift timings: 7 pm - 4 amResponsibilities:&middot; Develop, implement and manage our digital media strategy&middot; Define most important social media KPIs&middot; Manage and oversee social media content&middot; Measure the success of every social m",Karachi,9-Sep-20
Full Time Pashto Speaker Jobs in Pakistan,Gallery Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"Key Responsibilities:
Respond to customers professionally to provide information about products and services, take/cancel orders, or obtain details of complaints.
Keep records of customer interactions and transactions, recording details of inquiries,",Karachi,9-Sep-20
Full Time Faculty Member Jobs in Pakistan,,"Central Institute of Management Sciences, Pakistan",Full Time Jobs,2 Years Job Exp.,Education Jobs,We need lecturers in our computer science department. The candidate must have MSCS or MSIT degree alongwith 2 years of teaching experience of BSCS &amp; BSIT classes,Lahore,9-Sep-20
Full Time Final Expense Closer (Night Shift) Jobs in Pakistan,,"Python Leads Inc., Pakistan",Full Time Jobs,1 Year Job Exp.,Customer Service Jobs,We are Looking for an experienced Final Expense Closer for the NIGHT Shift. If you have at least 2 year of experience on sales with Final Expense and are capable to close your own sale. We are offering the best competitive market salary plus lucrativ,Islamabad,9-Sep-20
Online Full Time Business Development Officer - BDO Jobs in Pakistan,,"Xperts Technologies, Pakistan",Full Time Jobs,< 1 Year,IT Jobs,Technical Company looking Business development officer (Home Basrd)Deal Clients on calls and genrate businessCommission Based Job,Karachi,9-Sep-20
Full Time Inbound Sales Specialist Jobs in Pakistan,Gallery Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"An Inbound Sales Specialist plays an important in achieving our ambitious customer acquisition and revenue growth objectives. S/he is comfortable receiving a healthy number of calls per day, generating interest, qualifying prospects, closing sales an",Islamabad,9-Sep-20
Full Time Image Editor Jobs in Pakistan,Gallery Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"Location: KarachiSalary: Up to PKR 40,000Working Hours: 9Job Shift: Morning &amp; EveningKey Responsibilities:Complete day-to-day image processing tasksContribute to team effort by accomplishing related results as neededEdit images that identify a pr",Karachi,9-Sep-20
Full Time Email And Chat Support Executive - Foodpanda Jobs in Pakistan,Gallery Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance via Chat and/or Email to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query. Esca",Karachi,9-Sep-20
Full Time Email And Chat Support Executive - Domestic Jobs in Pakistan,Gallery Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance via Chat and/or Email to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query. Esca",Islamabad,9-Sep-20
Full Time Coordinator To Director Job in Pakistan,,"Liberty Books & Publishers (Pvt) Ltd, Pakistan",Full Time Job,2 Years Job Exp.,Management Job,Job Requirement:Coordinate with Directors regarding day to day official matters.Repoting and updating office staff as per Director&#39;s instruction.Official report writing and Email Cordination.Any task assigned by the director.,Karachi,9-Sep-20
Full Time Customer Support Executive - Domestic Jobs in Pakistan,Gallery Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Handling chats/emails/calls",Islamabad,9-Sep-20
Full Time Customer Support Specialist - International Jobs in Pakistan,Premium Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore &",Islamabad,9-Sep-20
Full Time Shopify Developer Job in Pakistan,,"Freelancer, Pakistan",Full Time Job,2 Years Job Exp.,Web & E-commerce Job,"We are looking for Shopify Developer.
Knowledge of
Liquid, HTML, CSS is a must
Javascript is a plus.",Islamabad,8-Sep-20
Full Time Business Development Executive - BDE Jobs in Pakistan,Hot Job,"HG Markets Pvt Ltd, Pakistan",Full Time Jobs,1 Year Job Exp.,Sales Jobs,To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,Karachi,8-Sep-20
Full Time Fresh Call Center Agents Jobs in Pakistan,,"Employmentsolutions, Pakistan",Full Time Jobs,< 1 Year,Customer Service Jobs,"We are looking for fresh call center agents for our multiple call centers in Lahore. If you are looking for a job in a call center, you are at the right place to find the best-suited call center job in your nearest area with a handsome salary package",Lahore,8-Sep-20
Full Time Social Media Expert Job in Pakistan,,"Selteq Pvt Ltd, Pakistan",Full Time Job,3 Years Job Exp.,Marketing Job,Exciting opportunity has risen for highly experienced Social Media Expert who is creative and thinks out of the box. Would you like to work for a next-generation global company with its headquarters in LONDON?You would be responsible for Maintaining,Islamabad,8-Sep-20
Full Time Call Center Agents Jobs in Pakistan,,"HT Call Center, Pakistan",Full Time Jobs,Job for Fresh Graduates,Sales Jobs,"We need experienced agents for USA, UK and Canada Based Campaigns
Available shifts: Evening and MorningAttractive Salary: Basic 15000 - 30000 +Bonuses and CommissionSunday Off.",Lahore,8-Sep-20
Full Time IT Support  Jobs in Pakistan,,"Afiniti, Pakistan",Full Time Jobs,3 Years Job Exp.,Computer Software Jobs,1st/2nd Level support of internal customers for all IT related issues.Detailed tracking of each customer&#39;s service needs in JIRA based ticketing system.Followup with customers to ensure that all issues/needs have been resolved/met.Timely and accu,Islamabad,8-Sep-20
Full Time Ios Developer Jobs in Pakistan,,"Rapidzz Solution, Pakistan",Full Time Jobs,1 Year Job Exp.,Insurance Jobs,Rapidzz Solutions is one of the emerging IT services provider company in Lahore and right now we are looking forward to add competent and Industrious iOS developers to our team who are looking forward to adding cutting edge technologies to their port,Lahore,8-Sep-20
Full Time Outdoor Sales Executive For Wholesale Grocery Jobs in Pakistan,,"Move Mart, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,"Job brief karachi onlyWe are looking for a competitive and trustworthy Sales Executive - Out door to help us build up our whole sale grocery business.Sales Executive responsibilities include discovering and pursuing new sales prospects, negotiating d",Karachi,8-Sep-20
Full Time Senior PHP Developers (SSE) Jobs in Pakistan,,"DTech Systems, Pakistan",Full Time Jobs,4 Years Job Exp.,IT Jobs,"- Develop and normalize SQL based Databases- Optimize query time, data structures and different algorithms- Solve real-time problems and focus on solutions- Be an excellent Programmer majorly working with PHP and related frameworks (Laravel, CodeIgni",Lahore,8-Sep-20
Full Time Generator Technician  Job in Pakistan,,"Blue wave Technology , Pakistan",Full Time Job,2 Years Job Exp.,Banking Job,"Must having knowledge about electrical and mechanical parts of generator and also havingexperience in PM &amp; CMFirst level troubleshooter , maintenance &amp; service",Besham,8-Sep-20
Full Time Sales Executives Jobs in Pakistan,,"Citrus Konsulting, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,Job Description:We are looking for an energetic hardworking individual who can communicate well and has good understanding of sales and marketing related to real estate of modern era. An individual with good personality and team player with can-do at,Lahore,8-Sep-20
Full Time Marketing Officer Job in Pakistan,,"Suhang Corporation, Pakistan",Full Time Job,< 1 Year,Web & E-commerce Job,"We are looking for a dynamic Marketing office Assistant person.Responsibilities will include:Send mails , Follow up and update social Madia.
Creating Banners for websites, marketing campaigns,
Generating ideas and concepts for various marketing and a",Karachi,8-Sep-20
Full Time Content Editor Job in Pakistan,,"SETalks, Pakistan",Full Time Job,2 Years Job Exp.,Computer Hardware Job,"SEtalks is looking to add an in-house &ldquo;Content Editor&rdquo; who is proficient in all aspects of online content editing and team management. In-house Content Editor will be responsible for restructuring, editing, and proofreading articles/blogs",Karachi,8-Sep-20
Full Time Android Application Developer Job in Pakistan,,"Global Solutions Systems, Pakistan",Full Time Job,1 Year Job Exp.,Computer Software Job,"We need Android application developer on urgent basis and he need the job opportunity and we need to work with his/her experience, who has feels the responsible person, sharp minded means understanding and capability with perfection with work Assignm",Karachi,8-Sep-20
Online Full Time Freelancer Business Developer Senior Job in Pakistan,,"Think Solutionz, Pakistan",Full Time Job,< 1 Year,IT Job,We&#39;re looking for experienced Freelance Business Developer who can work in a collaborative environment and demonstrate his skills to win clients on online platforms such as Freelancer.com and UpWork.The ideal candidate will be responsible for:Qua,Karachi,8-Sep-20
Full Time Senior React JS Developer Jobs in Pakistan,Gallery Job,"Custom Click, Pakistan",Full Time Jobs,1 Year Job Exp.,Web & E-commerce Jobs,"Who we are?A new breed of thinkers, driven to create Customer satisfaction, openness, innovation, teamwork and growth, are the core values behind our company.Are you looking for an ambitious and forward-thinking company with a modern tech stack, chal",Islamabad,8-Sep-20
Full Time Senior .NET Full Stack Developer Job in Pakistan,,"Technology Stream, Pakistan",Full Time Job,6 Years Job Exp.,Web & E-commerce Job,"Looking for experienced full stack .NET developer having proven experience in building rich large scale data driven web application for enterprise level business along with cloud architecture having multi-tenant nature , .NET Developer you will have",Islamabad,8-Sep-20
Online Full Time Digital Marketing Executive Job in Pakistan,,"SJ Marketing, Pakistan",Full Time Job,2 Years Job Exp.,Computer Hardware Job,"Assist in the formulation of strategies by studying economic indicators, tracking changes in supply and demand, identifying customers and their current and future needs to build a lasting digital connection with consumersPlans and executes all web, S",Islamabad,8-Sep-20
